web-scraper-order;web-scraper-start-url;link;link-href;judul;isi
1652840994-32;https://www.suara.com/tag/pelecehan-seksual;Umbar Momen Pertama Orbitkan Iqlima Kim, Hotman Paris Mengaku Kesal: Capek Ngajarinya!;https://sumsel.suara.com/read/2022/05/11/163712/umbar-momen-pertama-orbitkan-iqlima-kim-hotman-paris-mengaku-kesal-capek-ngajarinya;Umbar Momen Pertama Orbitkan Iqlima Kim, Hotman Paris Mengaku Kesal: Capek Ngajarinya!;"SuaraSumsel.id - Hotman Paris masih berseteru dengan Iqlima Kim, mantan asisten pribadi (Aspri) tersebut. Belakangan Iqlima Kim menuduh Hotman Paris melakukan pelecehan seksual pada dirinya.            
                                                        
        
                                    
    
    
                    
          
                                                                      
                                                                      
                                          
                                          
                                          
                                          
                                                

    Di akun mendia sosial instagramnya, Hotman Paris mengunggah bukti tuduhan pelecehan seperti tuduhan tersebut. Momen perdana mengorbitkan Iqlama Kim pun dibagikan di media sosial.            
                    
		
	
		 

                                                        
        
                                    
    
    
                    
          
                                                                      
                                                                      
                                          
                                          
                                          
                                          
                                                

    Pengacara kondang itu, kesal pada Iqlima Kim yang sering salah sebut nama menteri yang bakal menjadi narasumber acara Hotman Paris.Iqlim Kim salah menyebutkan Menteri Agraria.            
                                                        
        
                                    
    
    
                    
          
                                                                      
                                                                      
                                          
                                          
                                          
                                          
                                                

    ""Saat pertama kali Hotman orbitkan Iqlimakim akhir bulan Februari 2022 di medsos! Hotman capek ngajarinnya! Bilang Menteri Agraria salah 3 kali! Hotman sabar bimbingnya!"" tulis Hotman Paris, Rabu (11/5/2022).            
                                                        
        
                                    
    
    
                    
          
                                                        
                        Baca Juga:
                        Mengumbar Perselingkuhan di Media Sosial, Polwan di Sumsel Ingin Suaminya Dipecat Sebagai ASN 
                    
                                                  
                                                                      
                                          
                                          
                                          
                                          
                                                

    Dalam video tersebut, Iqlima Kim memang terdengar salah ketika menyebut Menteri Agraria. Hotman pun berusaha membenarkan ucapan wanita itu selama pengambilan video.            
                                                        
        
                                    
    
    
                    
          
                                                                      
                                                                      
                                          
                                          
                                          
                                          
                                                

    ""Halo Bapak Menteri Agradia,"" kata Iqlima Kim melansir video Instagram Hotman Paris.            
                                                        
        
                                    
    
    
                    
          
                                                                      
                                                                      
                                          
                                          
                                          
                                          
                                                

    ""He Agraria,"" ujar Hotman membenarkan.            
                            
		
	
		 

                                                
        
                                    
    
    
                    
          
                                                                      
                                                                      
                                          
                                          
                                          
                                          
                                                

    Hotman Paris kembali menyuarakan kecurigaannya terhadap Iqlima Kim. Ia lagi-lagi curiga dengan tuduhan pelecehan seksual yang dilayangkan Iqlima terhadap dirinya.            
                                                        
        
                                    
    
    
                    
          
                                                                      
                                                                      
                                          
                                          
                                          
                                          
                                                

    ""Ini akhir Februari 2022! Kok sekarang dia buat cerita dilecehkan di bulan Februari?? Capeknya bimbing anak koss mangga besar saat itu tiktok di Studio Metro tv! Lihat pakaiannya yang selalu sexy bukan hotman yang minta! Lihat ig dia banyak photo sexy tapi sekarang dihapus! He he tim aku sudah capture!"" lanjut Hotman.            
                                                        
        
                                    


			













  







                            
    
    
                    
          
                                                                      
                                                                    
                        Baca Juga:
                        Polwan di Sumsel Suci Trending Twitter, Ceritakan Suami Berselingkuh ""Layangan Putus"" Versi ASN 
                    
                                      
                                          
                                          
                                          
                                          
                                                

    ""Kok sekarang nuduh merasa dilecehkan dengan alasan diminta pakaian sexy?? Ngarang ini! Siapa otak scenario tuduhan ini (jujur Hotman saat itu ngakak diam-diam ketika dia bahkan tidak tau menyebutkan Menteri Agraria, disebutnya 'Agagia'),"" pungkasnya.            
                                                        
        
                                    
    
    
                    
          
                                                                      
                                                                      
                                          
                                          
                                          
                                          
                                                

    
            
                                                        
        
                                    
    
    
                    
          
                                                                      
                                                                      
                                          
                                          
                                          
                                          
                                                

    




     

                        
                            «12»                        
                        
          
     


IKUTI BERITA LAINNYA DI GOOGLE NEWS"
1652841159-40;https://www.suara.com/tag/pelecehan-seksual;Pria Paruh Baya Ditangkap Polisi karena Cabuli Tetangganya yang Berkebutuhan Khusus;https://kalbar.suara.com/read/2022/05/17/194449/pria-paruh-baya-ditangkap-polisi-karena-cabuli-tetangganya-yang-berkebutuhan-khusus;Pria Paruh Baya Ditangkap Polisi karena Cabuli Tetangganya yang Berkebutuhan Khusus;"SuaraKalbar.id - Seorang pria paruh baya berinisial B (48) harus berurusan dengan pihak kepolisian lantaran diduga tega mencabuli seorang remaja berkebutuhan khusus berusia 14 tahun di kawasan Taman Sari.            
                                                        
        
                                    
    
    
                    
          
                                                                      
                                                                      
                                                

    ""Tersangka sudah kita amankan,"" ucap Kepala Satuan Reserse Kriminal Polres Jakarta Barat, AKBP Joko Dwi Harsono, saat dikonfirmasi di Jakarta, Selasa.            
                    
		
	
		 

                                                        
        
                                    
    
    
                    
          
                                                                      
                                                                      
                                                

    Dikatakan Joko, awalnya pihaknya menerima laporan kasus pencabulan tersebut pada Sabtu (14/5).            
                                                        
        
                                    
    
    
                    
          
                                                                      
                                                                      
                                                

    Dalam laporan tersebut, korban dicabuli oleh B selaku tetangganya sendiri.            
                                                        
        
                                    
    
    
                    
          
                                                        
                        Baca Juga:
                        Cabuli Remaja Berkebutuhan Khusus di Jakbar, Pria Paruh Baya Dibekuk Polisi 
                    
                                                  
                                                                      
                                                

    Mendapatkan laporan tersebut, polisi langsung memeriksa pelapor berikut beberapa barang bukti pencabulan.            
                                                        
        
                                    
    
    
                    
          
                                                                      
                                                                      
                                                

    Keesokan harinya, polisi langsung menangkap B pada Minggu (15/5).            
                                                        
        
                                    
    
    
                    
          
                                                                      
                                                                      
                                                

    ""Tersangka kita tangkap di kawasan Taman Sari,"" ungkap Joko.            
                            
		
	
		 

                                                
        
                                    
    
    
                    
          
                                                                      
                                                                      
                                                

    Saat dilakukan penangkapan, tidak ada perlawanan dari tersangka.            
                                                        
        
                                    
    
    
                    
          
                                                                      
                                                                      
                                                

    Setelah ditangkap, tersangka digiring ke Polres dan langsung diperiksa untuk dimintai keterangan lebih lanjut.            
                                                        
        
                                    


			













  







                            
    
    
                    
          
                                                                      
                                                                    
                        Baca Juga:
                        Pilu! Remaja Berkebutuhan Khusus Diduga Dicabuli Tetangga di Jakbar 
                    
                                      
                                                

    Saat ditanya kronologis pencabulan tersebut, Joko enggan menjelaskan lebih lanjut.            
                                                        
        
                                    
    
    
                    
          
                                                                      
                                                                      
                                                

    
            
                                                        
        
                                    
    
    
                    
          
                                                                      
                                                                      
                                                

    




     

                        
                            «12»                        
                        
          
     


IKUTI BERITA LAINNYA DI GOOGLE NEWS"
1652840927-29;https://www.suara.com/tag/pelecehan-seksual;Amber Heard Menangis Beri Kesaksian, Tuding Johnny Depp Lakukan Penganiayaan hingga Pelecehan Seksual;https://batam.suara.com/read/2022/05/06/180000/amber-heard-menangis-beri-kesaksian-tuding-johnny-depp-lakukan-penganiayaan-hingga-pelecehan-seksual;Amber Heard Menangis Beri Kesaksian, Tuding Johnny Depp Lakukan Penganiayaan hingga Pelecehan Seksual;"SuaraBatam.id - Mantan Istri Johnny Depp, Amber Heard menangis saat bersaksi dalam kasus dugaan penganiayaan di pernikahan, Kamis (5/5) di pengadilan setempat.            
                                                        
        
                                    
    
    
                    
          
                                                                      
                                                                      
                                          
                                          
                                          
                                                

    Ia mengatakan Johnny Depp melakukan kekerasan seksual dengan botol dan mengancam hidupnya tak lama setelah mereka menikah.            
                    
		
	
		 

                                                        
        
                                    
    
    
                    
          
                                                                      
                                                                      
                                          
                                          
                                          
                                                

    Heard yang bersaksi dalam kasus defamasi yang diajukan Depp mengatakan dia mengunjungi Depp di Australia sekitar sebulan setelah menikah pada awal 2015, kala itu Depp syuting film kelima ""Pirates of the Caribbean"".            
                                                        
        
                                    
    
    
                    
          
                                                                      
                                                                      
                                          
                                          
                                          
                                                

    Pada malam pertama mereka bersama, ujar Heard, rencana makan malam di rumah yang mereka tempati berubah jadi pertengkaran. Depp, yang disebut Heard minum alkohol, mendorongnya ke kulkas dan memegang lehernya.            
                                                        
        
                                    
    
    
                    
          
                                                        
                        Baca Juga:
                        Arus Balik di Bandara Hang Nadim Batam Masih Normal, Puncak Keramaian Hari Sabtu: Ada Tambahan Penerbangan 
                    
                                                  
                                                                      
                                          
                                          
                                          
                                                

    Heard mengatakan dia melepaskan diri dan naik ke lantai atas, kembali lagi dengan gaun malam dan melihat Depp masih bangun. Heard mengaku meminta Depp untuk makan karena mereka belum makan malam, tapi Depp bersikap ""agresif"" dan melempar botol-botol yang kemudian pecah di dekat Heard.            
                                                        
        
                                    
    
    
                    
          
                                                                      
                                                                      
                                          
                                          
                                          
                                                

    Depp diklaim merobek gaunnya, membuatnya telanjang, dan melempar Heard ke meja ping-pong sebelum memasukkan botol ke dalam vaginanya.            
                                                        
        
                                    
    
    
                    
          
                                                                      
                                                                      
                                          
                                          
                                          
                                                

    ""Dia memasukkannya ke dalam tubuh saya berkali-kali,"" kata Heard sambil menangis saat mendeksripsikan kejadian itu. Dia mengatakan, dia berharap waktu itu botol yang dipakai bukan botol yang pecah.            
                            
		
	
		 

                                                
        
                                    
    
    
                    
          
                                                                      
                                                                      
                                          
                                          
                                          
                                                

    Kepada juri di persidangan, Heard mengatakan Depp berkali-kali berkata, ""Aku akan membunuhmu.""            
                                                        
        
                                    
    
    
                    
          
                                                                      
                                                                      
                                          
                                          
                                          
                                                

    ""Saya takut,"" kata Heard. ""Saya baru menikahinya.""            
                                                        
        
                                    


			













  







                            
    
    
                    
          
                                                                      
                                                                    
                        Baca Juga:
                        Bandara Hang Nadim Ramai Penumpang Saat Lebaran, Sopir Taksi di Batam Kebanjiran Rezeki: Sehari Minimal 3 Kali Trip 
                    
                                      
                                          
                                          
                                          
                                                

    Beberapa bulan kemudian, di rumah mereka di Los Angeles, Heard mengaku Depp mematahkan hidungnya dan menarik rambutnya dalam kejadian lain.            
                                                        
        
                                    
    
    
                    
          
                                                                      
                                                                      
                                          
                                          
                                          
                                                

    
            
                                                        
        
                                    
    
    
                    
          
                                                                      
                                                                      
                                          
                                          
                                          
                                                

    




     

                        
                            «12»                        
                        
          
     


IKUTI BERITA LAINNYA DI GOOGLE NEWS"
1652841118-38;https://www.suara.com/tag/pelecehan-seksual;Bocah 7 Tahun di Kota Bogor Jadi Korban Pelecehan Seksual, Pelaku Mengimingi Uang Rp 10 Ribu;https://bogor.suara.com/read/2022/05/13/165727/bocah-7-tahun-di-kota-bogor-jadi-korban-pelecehan-seksual-pelaku-mengimingi-uang-rp-10-ribu;Bocah 7 Tahun di Kota Bogor Jadi Korban Pelecehan Seksual, Pelaku Mengimingi Uang Rp 10 Ribu;"SuaraBogor.id - Bocah 7 tahun jadi korban pelecehan. Kasus ini terjadi di wilayah hukum Polresta Bogor Kota, tepatnya di Kampung Tajur, Kelurahan Muarasari, Kecamatan Bogor Selatan, Kota Bogor.    
    
                    
          
                                                                      
                                                                      
                                          
                                          
                                                

    Polresta Bogor Kota melalui Kapolsek Bogor Selatan, Kompol Diana Sulistiowati mengatakan, kasus pelecehan ini baru diketahui setelah dirinya menerima laporan pada Rabu, 11 Mei 2022 kemarin, sekitar pukul 20.30 WIB.    
    
                    
          
                                                                      
                                                                      
                                          
                                          
                                                

    “Korban pelecehan berinisial SNA usia 7 tahun, tinggal di Kampung Tajur, Kelurahan Muarasari, Kecamatan Bogor Selatan,” ujar Kompol Diana mengutip dari Bogor Daily--jaringan Suara.com, Jumat (13/5/2022).    
    
                    
          
                                                                      
                                                                      
                                          
                                          
                                                

    Menurut Diana, pelaku ialah Abdul Rohman, 55 tahun. Dimana korban dan pelaku ini masih satu kampung, yakni di Kampung Tajur, Kelurahan Muarasari.    
    
                    
          
                                                        
                        Baca Juga:
                        Polres Brebes Tangkap 2 Pelaku Pelecehan Anak di Bbawah Umur, 10 Bocah Jadi Korban 
                    
                                                  
                                                                      
                                          
                                          
                                                

    “Perbuatan tersebut dilakukan di warung milik terduga pelaku dengan cara memasukan jari telunjuk ke lubang kemaluan korban, selanjutnya pelaku memberikan uang sebesar Rp 10 ribu kepada korban. Aksi bejad ini diketahui oleh orang tua korban setelah anaknya mengeluhkan sakit di bagian kemaluannya,” ungkapnya.    
    
                    
          
                                                                      
                                                                      
                                          
                                          
                                                

    Pasca kejadian yang dialami oleh sang anak, orang tua korban pun membawa anaknya ke RSUD Ciawi sekitar pukul 22.15 WIB, untuk dilakukan pemeriksaan medis akan tetapi dokter spesialisnya tidak ada, dan akan dilakukan pemeriksaan ulang keesokan harinya.    
    
                    
          
                                                                      
                                                                      
                                          
                                          
                                                

    
    
    
                    
          
                                                                      
                                                                      
                                          
                                          
                                                

    

                        
Sumber: bogordaily.net

    


     

     


IKUTI BERITA LAINNYA DI GOOGLE NEWS"
1652841098-37;https://www.suara.com/tag/pelecehan-seksual;Hotman Paris Sebut Iqlima Kim Minta Jadi Artis: Demi Cari Nafkah, Kamu Titipkan Anak ke Tetangga;https://riau.suara.com/read/2022/05/13/101555/hotman-paris-sebut-iqlima-kim-minta-jadi-artis-demi-cari-nafkah-kamu-titipkan-anak-ke-tetangga;Hotman Paris Sebut Iqlima Kim Minta Jadi Artis: Demi Cari Nafkah, Kamu Titipkan Anak ke Tetangga;"SuaraRiau.id - Seteru pengacara tersohor Hotman Paris Hutapea dengan mantan asisten pribadinya, Iqlima Kim nampaknya makin memanas.            
                                                        
        
                                    
    
    
        

    Iqlima Kim diketahui menuding Hotman Paris telah melakukan pelecehan seksual. Namun pengakuannya dibantah Hotman Paris dengan pernyataan yang menohok.            
                    
		
	
		 

                                                        
        
                                    
    
    
        

    Hotman akhirnya membeberkan kronologi awal pertemuannya dengan Iqlima Kim yang mengaku seorang janda yang memiliki satu orang anak.            
                                                        
        
                                    
    
    
        

    Iqlima Kim [Instagram]""Ingat tidak saat Anda ketemu Saya, Anda itu meminta benar, Anda bercerita ke Saya bahwa Anda itu seorang janda punya anak satu di Sukabumi,"" ungkap Hotman Paris dikutip Hops.id--jaringan Suara.com dari kanal Youtube Intens Investigasi.            
                                                        
        
                                    
    
    
        

    Iqlima yang datang dari Sukabumi ke Jakarta untuk mencari nafkah rela menitipkan anaknya ke tetangga.            
                                                        
        
                                    
    
    
        

    ""Demi mencari nafkah di Jakarta, Kamu menitipkan anakmu ke Tetangga,"" jelas Hotman.            
                                                        
        
                                    
    
    
        

    Lebih lanjut, Hotman lantas mengatakan kalau Iqlima rela menitipkan anaknya dan ngekos di Mangga Besar, Jakarta.            
                            
		
	
		 

                                                
        
                                    
    
    
        

    Dalam keterangan Hotman, saat datang ke Holywings mantan asprinya tersebut langsung ngobrol panjang lebar.            
                                                        
        
                                    
    
    
        

    ""Merantau ke Jakarta, tinggal ngekos di Mangga Besar dan Anda mendatangi Saya di Holywings minta agar diikutkan untuk jadi artis,"" ujar pengacara senior tersebut.            
                                                        
        
                                    


			













  







                            
    
    
        

    Awal mula Iqlima ikut dengan Hotman langsung diajak main Tiktok dan sejak saat itu popularitasnya meningkat.            
                                                        
        
                                    
    
    
        

    
            
                                                        
        
                                    
    
    
        

    

    


     

                        
                            «12»                        
                        
          
     


IKUTI BERITA LAINNYA DI GOOGLE NEWS"
1652841015-33;https://www.suara.com/tag/pelecehan-seksual;Seteru Memanas, Hotman Paris ke Iqlima Kim: Kita Ada Hubungan Khusus, Akui Saja;https://riau.suara.com/read/2022/05/12/135322/seteru-memanas-hotman-paris-ke-iqlima-kim-kita-ada-hubungan-khusus-akui-saja;Seteru Memanas, Hotman Paris ke Iqlima Kim: Kita Ada Hubungan Khusus, Akui Saja;"SuaraRiau.id - Pengacara ternama Hotman Paris Hutapea dituduh melakukan pelecehan seksual terhadap mantan asisten pribadinya, Iqlima Kim.            
                                                        
        
                                    
    
    
        

    Perkara tersebut membuat keduanya berseteru dan nampaknya makin memanas. Kali ini, Hotman Paris mengaku pernah menjain hubungan khusus dengan Iqlima Kim.            
                    
		
	
		 

                                                        
        
                                    
    
    
        

    Hotman Paris pun mengungkapkan kisah yang tak tersampaikan ke publik terkait mantan asprinya itu.            
                                                        
        
                                    
    
    
        

    Siapa Iqlima Kim? (Instgaram/iqlimakim_)Berbeda dengan Iqlima KIm yang justru menceritakan hal sebaliknya bersama sang pengacara, Razman Arif Nasution.            
                                                        
        
                                    
    
    
        

    Hotman Paris terus membuktikan bahwa tuduhan pelecehan seksual yang disampaikan Iqlima Kim tidak sesuai dengan fakta yang terjadi. Ia meminta Iqlima dan kuasa hukumnya untuk menghentikan proses hukum ini.            
                                                        
        
                                    
    
    
        

    ""Kepada putri Iqlima Aprilia dan pengacaranya, sebelum proses hukum semakin dalam coba lah segera bertobat. Bahwa tidak ada satu pun tuduhan kamu tentang pelecehan seksual tersebut tidak ada satu pun faktanya yang benar,"" kata Hotman Paris dilansir Hops.id--jaringan Suara.com dari YouTube Intens Investigasi, Kamis (12/5/2022).            
                                                        
        
                                    
    
    
        

    Hotman Paris berharap agar Iqlima Kim bersikap jujur terkait hubungan mereka. Hotman mengakui pernah menjalin hubungan khusus dengan perempuan asal Sukabumi, Jawa Barat tersebut.            
                            
		
	
		 

                                                
        
                                    
    
    
        

    ""Kamu akui lah bahwa kita di awal-awal ada hubungan khusus, akuin saja kenapa sih. Aku saja orang terkenal enggak bantah kok tapi kenapa tiba-tiba anda membuat tuduhan yang sangat kejam seperti itu,"" tuturnya.            
                                                        
        
                                    
    
    
        

    Hotman Paris juga mengatakan pernah bemesraan dengan Iqlima Kim pada Februari 2022. Saat itu juga, Iqlima merasa marah karena Hotman membawa asisten pribadinya yang lain.            
                                                        
        
                                    


			













  







                            
    
    
        

    ""Anda ingat? Waktu pertandingan tinju waktu tanggal 27 Februari di Hollywing? Di mana kita sangat mesra, dansa-dansa, di mana anda minum sangat banyak, di mana anda marah ketika saya bawa aspri saya yang juga cantik-cantik,"" ujarnya.            
                                                        
        
                                    
    
    
        

    
            
                                                        
        
                                    
    
    
        

    

    


     

                        
                            «12»                        
                        
          
     


IKUTI BERITA LAINNYA DI GOOGLE NEWS"
1652841057-35;https://www.suara.com/tag/pelecehan-seksual;Hotman Paris Bongkar Identitas Iqlima Kim, Netizen Kaget dengan Tahun Lahirnya;https://batam.suara.com/read/2022/05/12/175009/hotman-paris-bongkar-identitas-iqlima-kim-netizen-kaget-dengan-tahun-lahirnya;Hotman Paris Bongkar Identitas Iqlima Kim, Netizen Kaget dengan Tahun Lahirnya;"SuaraBatam.id - Pengacara kondang Hotman Paris dituding oleh mantan asisten pribadinya Iqlima Kim telah melakukan pelecehan seksual.            
                                                        
        
                                    
    
    
                    
          
                                                                      
                                                                      
                                          
                                          
                                                

    Hotman pun tak tinggal diam, ia membalas dengan membongkar identitas Iqlima Kim.            
                    
		
	
		 

                                                        
        
                                    
    
    
                    
          
                                                                      
                                                                      
                                          
                                          
                                                

    Identitas Iqlima terungkap saat Hotman Paris menunggah hasil laboraturium pemeriksaan kesehatan Covid-19 pada akhir Februari lalu.            
                                                        
        
                                    
    
    
                    
          
                                                                      
                                                                      
                                          
                                          
                                                

    Hotman menceritakan, kala itu, Iqlima sedang sakit tenggorokan dan batuk-batuk. Dia lalu mengirimkan sopir hingga sekretaris dan suster ke kos Iqlima.            
                                                        
        
                                    
    
    
                    
          
                                                        
                        Baca Juga:
                        Bendahara Panti Asuhan di Batam, David Martinus Cabuli 4 Remaja, Divonis 8 Tahun Penjara 
                    
                                                  
                                                                      
                                          
                                          
                                                

    Merasa peduli pada mantan asisten pribadinya, membuat Hotman Paris heran bagaimana bisa Iqlima menuding dirinya melakukan pelecehan seksual.            
                                                        
        
                                    
    
    
                    
          
                                                                      
                                                                      
                                          
                                          
                                                

    Tak ayal, followers Hotman pun langsung meramaikan unggahan pengacara berusia 62 tahun ini.            
                                                        
        
                                    
    
    
                    
          
                                                                      
                                                                      
                                          
                                          
                                                

    Bukan heboh membahas kasusnya, netizem malah salfok dan dibuat syok dengan tanggal lahir Iqlima, yaitu 16 Agustus 1999.            
                            
		
	
		 

                                                
        
                                    
    
    
                    
          
                                                                      
                                                                      
                                          
                                          
                                                

    ""Serius semuda itu bang,"" komentar @karlinani***.            
                                                        
        
                                    
    
    
                    
          
                                                                      
                                                                      
                                          
                                          
                                                

    ""99, kok kyk kelahiran 80an yaa,"" tambah @wikea***.            
                                                        
        
                                    


			













  







                            
    
    
                    
          
                                                                      
                                                                    
                        Baca Juga:
                        4 Kontroversi Hotman Paris Hutapea, dari Perempuan Cantik hingga Kode Etik Peradi 
                    
                                      
                                          
                                          
                                                

    ""Hah kelahiran 99? Aku kira udh 30thn an,"" kata @nurha***.            
                                                        
        
                                    
    
    
                    
          
                                                                      
                                                                      
                                          
                                          
                                                

    
            
                                                        
        
                                    
    
    
                    
          
                                                                      
                                                                      
                                          
                                          
                                                

    




     

                        
                            «12»                        
                        
          
     


IKUTI BERITA LAINNYA DI GOOGLE NEWS"
1652840804-23;https://www.suara.com/tag/pelecehan-seksual;Bikin Trauma, Perempuan Ini Mengaku Sering Dilecehkan Sepupu Saat Pulang Kampung, Orangtua Malah Tak Percaya;https://www.suara.com/news/2022/05/01/202626/bikin-trauma-perempuan-ini-mengaku-sering-dilecehkan-sepupu-saat-pulang-kampung-orangtua-malah-tak-percaya;Bikin Trauma, Perempuan Ini Mengaku Sering Dilecehkan Sepupu Saat Pulang Kampung, Orangtua Malah Tak Percaya;"Suara.com - Momen mudik lebaran biasanya menjadi momen yang ditunggu-tunggu. Sebab momen ini adalah momen menyenangkan berkumpul dengan keluarga besar.

Namun seorang perempuan malah merasakan trauma akibat sering mendapatkan perlakukan tak menyenangkan dari sepupu sendiri.

Menurut unggahan akun Twitter @seputartetangga, perempuan yang bercerita tersebut menyatakan bahwa ia pernah dilecehkan oleh sepupunya sendiri.

Usianya yang sudah 21 tahun itu merasa risih karena saat tidur bersama keluarga, bagian tubuhnya sering dipegang sepupunya yang laki-laki..

Baca Juga:
Tiket Kereta Api Hari Pertama dan Kedua Lebaran Masih Banyak, Yuk Dipesan

""Aku tidur bareng sepupu-sepupu lain di luar karena enggak muat, tapi aku selalu kena sexual assault saat aku tidur,"" ungkap perempuan tersebut.

""Aku udah cerita ke orangtua, tapi mereka tidak percaya karena sepupuku kuat agama,"" imbuhnya.

Sepupu yang melakukan tindakan tak pantas itu, menurutnya memang sosok alim yang sering ke masjid dan sudah umrah.


Ilustrasi pelecehan seksual pada perempuan [suara.com/Eko Faizin/egiapriyanti]
Ilustrasi pelecehan seksual pada perempuan [suara.com/Eko Faizin/egiapriyanti]
""Bahkan pernah aku begadang malam agar dia tahu aku enggak tidur dan enggak sentuh aku, paginya tetap sama juga. Saat orang sedang masak dan aku sedang tidur, dia pegang-pegang aku,"" imbuhnya.

Peremuan tersebut sudah berkali-kali melapor kepada orangtuanya, namun tetap tak dipercaya."
1652842227-60;https://www.suara.com/tag/pelecehan-seksual?page=2;Bantah Tudingan Pelecehan, Hotman Paris Pamer Foto Setengah Bugil Kiriman Iqlima Kim;https://www.suara.com/entertainment/2022/05/01/150725/bantah-tudingan-pelecehan-hotman-paris-pamer-foto-setengah-bugil-kiriman-iqlima-kim;Bantah Tudingan Pelecehan, Hotman Paris Pamer Foto Setengah Bugil Kiriman Iqlima Kim;"Suara.com - Hotman Paris Hutapea terus mengeluarkan bantahan atas tudingan pelecehan seksual terhadap mantan asisten pribadinya, Iqlima Kim.                        
                        
                                            
                                                                                                                                                                        
                        
                        
                                                                                                                
                        
                    
                    
                                                    
                          
                                                                                                                                                                      
                                                                                                                                                                      
                                                                                                          
                                                                                                          
                                                                                                          
                                                                                                                                                

                    Lewat Instagram, Hotman Paris mengunggah bukti foto setengah bugil yang diklaim sebagai kiriman dari Iqlima Kim.                        
                        
                                            
                                                    
		
	
		 

                                                                                                                                                                        
                        
                        
                                                                                                                
                        
                    
                    
                                                    
                          
                                                                                                                                                                      
                                                                                                                                                                      
                                                                                                          
                                                                                                          
                                                                                                          
                                                                                                                                                

                    ""Ini lah bukti sempurna untuk membantah pengakuan dari Iqlima Kim, bahwa dia korban pelecehan seksual yang menurut dia terjadi di bulan Februari 2022,"" ujar Hotman Paris, Minggu (1/5/2022).                        
                        
                                            
                                                                                                                                                                        
                        
                        
                                                                                                                
                        
                    
                    
                                                    
                          
                                                                                                                                                                      
                                                                                                                                                                      
                                                                                                          
                                                                                                          
                                                                                                          
                                                                                                                                                

                    Dia lantas menerangkan bahwa foto tersebut dikirim sendiri oleh Iqlima Kim pada 21 Maret 2022.                        
                        
                                            
                                                                                                                                                                        
                        
                        
                                                                                                                
                        
                    
                    
                                                    
                          
                                                                                                                        
                                        Baca Juga:
                                        Pengakuan Iqlima Kim vs Bantahan Hotman Paris Soal Dugaan Pelecehan Seksual 
                                    
                                                                                                                  
                                                                                                                                                                      
                                                                                                          
                                                                                                          
                                                                                                          
                                                                                                                                                

                    Unggahan Hotman Paris [Instagram/@hotmanparisofficial]""Jadi lebih satu bulan, bila dihitung dari Februari 2022 atau waktu terjadinya dugaan pelecehan seksual,"" terang sang pengacara nyentrik.                        
                        
                                            
                                                                                                                                                                        
                        
                        
                                                                                                                
                        
                    
                    
                                                    
                          
                                                                                                                                                                      
                                                                                                                                                                      
                                                                                                          
                                                                                                          
                                                                                                          
                                                                                                                                                

                    Tak berhenti sampai di situ, Hotman Paris juga mengatakan bahwa dirinya menerima lebih dari satu foto seksi Iqlima Kim.                        
                        
                                            
                                                                                                                                                                        
                        
                        
                                                                                                                
                        
                    
                    
                                                    
                          
                                                                                                                                                                      
                                                                                                                                                                      
                                                                                                          
                                                                                                          
                                                                                                          
                                                                                                                                                

                    ""Ada dua foto dan satu video seksi yang dikirim di tanggal yang sama,"" kata dia.                        
                        
                                            
                                                                            
		
	
		 

                                                                                                                                                
                        
                        
                                                                                                                
                        
                    
                    
                                                    
                          
                                                                                                                                                                      
                                                                                                                                                                      
                                                                                                          
                                                                                                          
                                                                                                          
                                                                                                                                                

                    Bahkan sebelum foto kiriman Iqlima Kim sampai kepadanya, Hotman Paris mengaku sempat bermesraan dengan yang bersangkutan.                        
                        
                                            
                                                                                                                                                                        
                        
                        
                                                                                                                
                        
                    
                    
                                                    
                          
                                                                                                                                                                      
                                                                                                                                                                      
                                                                                                          
                                                                                                          
                                                                                                          
                                                                                                                                                

                    ""Tanggal 10 Maret 2022, Iqlima Kim berdansa mesra dengan Hotman di Transmart Bintaro. Duduk mesra, punggung berdekatan, bahkan makan malam mesra hampir 1,5 jam di restoran sushi di Transmart,"" papar ayah Frank Hutapea.                        
                        
                                            
                                                                                                                                                                        
                        
                        
                                                                                                

     


     



			







  













                                                                                    
                        
                    
                    
                                                    
                          
                                                                                                                                                                      
                                                                                                                                                    
                                        Baca Juga:
                                        Profil Iqlima Kim yang Mengaku Dilecehkan Hotman Paris di Mobil 
                                    
                                                                                      
                                                                                                          
                                                                                                          
                                                                                                          
                                                                                                                                                

                    Lewat bukti tersebut, Hotman Paris menegaskan bahwa tudingan pelecehan seksual yang sebelumnya disampaikan Iqlima Kim tidak bisa dipertanggungjawabkan.                        
                        
                                            
                                                                                                                                                                        
                        
                        
                                                                                                                
                        
                    
                    
                                                    
                          
                                                                                                                                                                      
                                                                                                                                                                      
                                                                                                          
                                                                                                          
                                                                                                          
                                                                                                                                                

                                            
                        
                                            
                                                                                                                                                                        
                        
                        
                                                                                                                
                        
                    
                    
                                                    
                          
                                                                                                                                                                      
                                                                                                                                                                      
                                                                                                          
                                                                                                          
                                                                                                          
                                                                                                                                                

                    
                    
                                        
                    





 

                                                        
                                            «12»                                        
                                        
                  
             
          


IKUTI BERITA LAINNYA DI GOOGLE NEWS"
